benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,runtime_seconds,communication_bytes,search_evaluations,discovered_terms,expression,stop_reason
base,complementary,0.03,300,4,9001,fedfalsify-v05,1.0,1.0,1.0,7.520194842177324e-07,0.0078045897239101825,0.0,1.0,0.5018141859999332,238605,5,sin(x2);x1;x3^2,2·x₁ + 0.4989·x₃² + 1.001·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9001,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,7.520194821938257e-07,0.007804589723910184,0.0,1.0,3.432584600000041,0,1589,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",-4.228e-06 + 1.001*(sin(x2)+x1) + 0.4989*((x3)^2+x1) + 0.4995*x1,generation budget reached
base,complementary,0.03,300,4,9001,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,7.520194821937714e-07,0.0078045897239101825,0.0,1.0,3.0905224929999804,633344,1589,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",-4.228e-06 + 1.001*(sin(x2)+x1) + 0.4989*((x3)^2+x1) + 0.4995*x1,generation budget reached
base,complementary,0.03,300,4,9001,centralized-residual-counterexample-gp,0.0,0.0,0.0,0.0024631333820681915,0.033463624168906476,0.0,1.0,0.9855969730000425,0,1642,"expr:add(sin(x1),square(x3));expr:add(sin(x1),x1);expr:add(sin(x2),x1);expr:sin(add(sin(x1),sin(x2)))",0.000534 + 0.4969*(sin(x1)+(x3)^2) + 0.2864*(sin(x1)+x1) + 1.591*(sin(x2)+x1) - 0.8497*sin((sin(x1)+sin(x2))),generation budget reached
base,complementary,0.03,300,4,9002,fedfalsify-v05,1.0,1.0,1.0,1.282087336781059e-06,0.008295233899165609,0.0,1.0,0.3099166160000095,238728,5,sin(x2);x1;x3^2,0.003983 + 1.999·x₁ + 0.4991·x₃² + 1.003·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9002,centralized-tree-gp,0.0,0.0,0.0,0.0013416596894051426,0.01785850565717693,0.0,1.0,0.8913365079999949,0,1590,"cos(x3);expr:add(cos(x3),x1);expr:add(sin(x1),square(x3));expr:add(sin(x2),x1)",0.8904 + 0.9082*(cos(x3)+x1) + 0.1745*(sin(x1)+(x3)^2) + 1.007*(sin(x2)+x1) - 1.857*cos(x3),generation budget reached
base,complementary,0.03,300,4,9002,federated-tree-gp-style,0.0,0.0,0.0,0.0013416596894051437,0.01785850565717693,0.0,1.0,1.1495743610000773,636672,1590,"cos(x3);expr:add(cos(x3),x1);expr:add(sin(x1),square(x3));expr:add(sin(x2),x1)",0.8904 + 0.9082*(cos(x3)+x1) + 0.1745*(sin(x1)+(x3)^2) + 1.007*(sin(x2)+x1) - 1.857*cos(x3),generation budget reached
base,complementary,0.03,300,4,9002,centralized-residual-counterexample-gp,0.0,0.25,0.3333333333333333,0.0011332848270732582,0.013916360354322296,0.0,1.0,0.9664715069999374,0,1619,"expr:add(sin(x1),square(x3));expr:add(sin(x2),x1);expr:sin(add(sin(x1),x1));x1",0.02312 + 0.4938*(sin(x1)+(x3)^2) + 1.002*(sin(x2)+x1) - 0.2713*sin((sin(x1)+x1)) + 0.8416*x1,generation budget reached
base,complementary,0.03,300,4,9003,fedfalsify-v05,1.0,1.0,1.0,1.270468025365394e-06,0.008003496401867071,0.0,1.0,0.31894344199997704,238420,5,sin(x2);x1;x3^2,0.004857 + 2.001·x₁ + 0.498·x₃² + 0.998·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9003,centralized-tree-gp,0.0,0.0,0.0,0.00011112174023195526,0.008374995076279826,0.0,1.0,0.9143229830000337,0,1624,"expr:add(sin(x1),square(x3));expr:add(sin(x2),sin(x2));expr:add(sin(x2),x1);x1^3",0.003926 + 0.4978*(sin(x1)+(x3)^2) - 0.2708*(sin(x2)+sin(x2)) + 1.542*(sin(x2)+x1) + 0.05437*((x1)^2*x1),generation budget reached
