benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,fallback_selected,selected_source,validation_mse,worst_validation_mse,runtime_seconds,communication_bytes,discovered_terms,expression,stop_reason,candidate_bank_target_recall,candidate_bank_contains_all_truth,candidate_bank_size,candidate_bank_nuisance_count,probe_certified,candidate_sets_evaluated,necessity_failures,swap_failures,exception_eligible_diagnostics,selector_structure,panel,balance_profile,nominal_samples_per_client,client_sizes,communication_per_client,frozen_v6_anchor_structure,fcrra_final_structure,anchor_discovery_coefficients,fcrra_final_coefficients,exception_term,exception_in_bank,exception_in_anchor,fcrra_attempted,eligible_discovery_clients,eligible_discovery_support,eligible_selector_clients,eligible_selector_support,residual_numerator,residual_denominator,exception_coefficient,anchor_role_information_score,augmented_role_information_score,outside_selector_sse_max_difference,outside_selector_prediction_max_difference,augmentation_accepted
cubic_cross,complementary,0.1,100,4,20101,fcrra-spent-diagnostic,1.0,1.0,1.0,4.1730467325238594e-05,0.34079879680565045,0.0,1.0,0.0,frozen-v6-anchor,0.2550118756708514,0.3327341752681965,1.625568020000003,3077525,x1*x2;x1^3;x3^2,0.02329 + 0.5078·x₃² + 0.8032·x₁³ + 1.194·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,6,3,1.0,63,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,769381.25,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[0.060504732269969,0.49145298673994986,0.8049251292664511,1.1840369920547826]","[0.02328732072235693,0.5077658841584455,0.8031932632093821,1.1937583968769443]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.1,100,4,20102,fcrra-spent-diagnostic,1.0,1.0,1.0,5.969550843552564e-05,0.20174188556108852,0.0,1.0,0.0,frozen-v6-anchor,0.21522119459948996,0.26924929528066266,1.6811949159999955,3142667,x1*x2;x1^3;x3^2,-0.01897 + 0.4944·x₃² + 0.7942·x₁³ + 1.193·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,785666.75,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[-0.04637291284042422,0.5008419685357319,0.791900252416824,1.1952251726290353]","[-0.018969183747481733,0.49444247550098724,0.7942209472441394,1.1933135772797898]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.1,100,4,20103,fcrra-spent-diagnostic,1.0,1.0,1.0,4.0290145209576936e-05,0.31944678116274383,0.0,1.0,0.0,frozen-v6-anchor,0.34290313460034605,0.48663406947136234,1.712926037999992,3169742,x1*x2;x1^3;x3^2,-0.02531 + 0.5182·x₃² + 0.8029·x₁³ + 1.189·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,792435.5,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[-0.08474154217747065,0.5371951888216863,0.7989594037669165,1.1901637270416636]","[-0.02530603292861364,0.5181537519614869,0.8029257243336065,1.1893313777657877]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.1,100,4,20104,fcrra-spent-diagnostic,0.0,0.6666666666666666,0.6666666666666666,0.0005441060539429774,0.28341280296770455,0.0,1.0,0.0,frozen-v6-anchor,0.33701553057177874,0.4574038829067357,1.6924641359999981,3143270,cos(x3);x1*x2;x1^3,1.289 - 1.458·cos(x₃) + 0.8037·x₁³ + 1.223·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,cos(x3),x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,cos(x3),x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,8,5,0.0,219,0,1,0,1;cos(x3);x1^3;x1*x2,G,balanced,100,100;100;100;100,785817.5,1;cos(x3);x1^3;x1*x2,1;cos(x3);x1^3;x1*x2,"[1.2821983917743254,-1.4663167202670668,0.802238995931885,1.2273662090433777]","[1.2888593799087034,-1.4575572670214345,0.8037325955955015,1.2230949584986874]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.1,100,4,20105,fcrra-spent-diagnostic,0.0,0.6666666666666666,0.6666666666666666,0.000321542585956593,0.3214131433507246,0.0,1.0,0.0,frozen-v6-anchor,0.23084750292300527,0.3312995921988204,1.6866338069999927,3142092,cos(x3);x1*x2;x1^3,1.35 - 1.494·cos(x₃) + 0.8013·x₁³ + 1.192·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,cos(x3),x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,cos(x3),x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,8,5,0.0,219,0,1,0,1;cos(x3);x1^3;x1*x2,G,balanced,100,100;100;100;100,785523.0,1;cos(x3);x1^3;x1*x2,1;cos(x3);x1^3;x1*x2,"[1.3154674515713225,-1.453061783013518,0.7999026979199844,1.1689751292991002]","[1.34986468712474,-1.494352469664551,0.8012869934679158,1.1915641792220877]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.1,250,4,20101,fcrra-spent-diagnostic,1.0,1.0,1.0,6.57973803475878e-05,0.256862645527264,0.0,1.0,0.0,frozen-v6-anchor,0.27745579425756417,0.33200782947468066,1.7359985920000014,3150337,x1*x2;x1^3;x3^2,-0.01735 + 0.487·x₃² + 0.795·x₁³ + 1.2·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,1,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,787584.25,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[0.004250589263123494,0.4819913078163144,0.7918649348946303,1.1951269150013464]","[-0.017345268572627755,0.48695314457968103,0.7950069167497276,1.199559925146561]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.1,250,4,20102,fcrra-spent-diagnostic,1.0,1.0,1.0,2.7567337070253594e-05,0.3040495298001266,0.0,1.0,0.0,frozen-v6-anchor,0.31404815918649637,0.3644630950081217,1.7594943389999997,3152979,x1*x2;x1^3;x3^2,0.04942 + 0.4893·x₃² + 0.7967·x₁³ + 1.199·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,788244.75,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[0.0717606422644037,0.47545551161730004,0.7938122030141069,1.1981270471025705]","[0.04942256849045558,0.4893348532280133,0.796695175481715,1.1988578631045612]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.1,250,4,20103,fcrra-spent-diagnostic,1.0,1.0,1.0,2.178602804852296e-05,0.253722921616445,0.0,1.0,0.0,frozen-v6-anchor,0.24351417499778988,0.33744887459022266,1.7356087010000039,3152724,x1*x2;x1^3;x3^2,-0.004508 + 0.5017·x₃² + 0.8033·x₁³ + 1.208·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,1,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,788181.0,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[0.005045651510525939,0.49782377294736746,0.8033016336386691,1.2012640173331366]","[-0.0045084212706575765,0.5016712717799082,0.8033491585159896,1.2078335814464758]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.1,250,4,20104,fcrra-spent-diagnostic,1.0,1.0,1.0,3.874875128919038e-05,0.2425778963246558,0.0,1.0,0.0,frozen-v6-anchor,0.2542099231224503,0.2972261826371868,1.7394236540000065,3153511,x1*x2;x1^3;x3^2,-0.02387 + 0.5022·x₃² + 0.7983·x₁³ + 1.184·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,788377.75,1;x3^2;x1^3;x1*x2,1;x3^2;x1^3;x1*x2,"[-0.01850295193482543,0.5028860104943333,0.7989393840696697,1.1894471530640889]","[-0.02387379529333164,0.5021788481300139,0.798337359446001,1.1839655806970215]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
cubic_cross,complementary,0.1,250,4,20105,fcrra-spent-diagnostic,0.0,0.6666666666666666,0.6666666666666666,0.0004829046693405466,0.3246319947786826,0.0,1.0,0.0,frozen-v6-anchor,0.2831907997548315,0.33446585601798173,1.7447725450000036,3152769,cos(x3);x1*x2;x1^3,1.304 - 1.454·cos(x₃) + 0.8008·x₁³ + 1.225·x₁x₂,"FCRRA spent-seed diagnostic; anchor=1,cos(x3),x1^3,x1*x2; exception=; in_bank=0; in_anchor=0; attempted=0; eligible_discovery=; eligible_selector=; numerator=None; denominator=None; gamma=None; anchor_role_ic=None; augmented_role_ic=None; outside_sse_max_diff=None; outside_prediction_max_diff=None; accepted=0; final=1,cos(x3),x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,1,0,1;cos(x3);x1^3;x1*x2,G,balanced,250,250;250;250;250,788192.25,1;cos(x3);x1^3;x1*x2,1;cos(x3);x1^3;x1*x2,"[1.3073799339420025,-1.4754754461462793,0.798866377352236,1.2221592808605128]","[1.3035427956225696,-1.453999926725655,0.8007575119519982,1.2253161184461814]",,0.0,0.0,0.0,,0,,0,,,,,,,,0.0
