benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,fallback_selected,selected_source,validation_mse,worst_validation_mse,runtime_seconds,communication_bytes,discovered_terms,expression,stop_reason,candidate_bank_target_recall,candidate_bank_contains_all_truth,candidate_bank_size,candidate_bank_nuisance_count,probe_certified,candidate_sets_evaluated,necessity_failures,swap_failures,exception_eligible_diagnostics,selector_structure,panel,balance_profile,nominal_samples_per_client,client_sizes,communication_per_client,frozen_v6_anchor_structure,frozen_candidate_bank_terms,rccd_final_structure,discovery_full_structure,discovery_full_coefficients,exception_term,source_term,exception_in_bank,exception_in_anchor,source_in_anchor,rccd_attempted,exception_coefficient,selector_eligible_clients,selector_eligible_support,selector_full_sse,selector_zero_sse,selector_delta,selector_passed,probe_eligible_clients,probe_eligible_support,probe_full_sse,probe_zero_sse,probe_delta,probe_passed,selector_outside_anchor_sse,selector_outside_full_sse,selector_outside_safe,probe_outside_anchor_sse,probe_outside_full_sse,probe_outside_safe,rccd_accepted
cubic_cross,complementary,0.1,100,4,20101,rccd-spent-diagnostic,1.0,1.0,1.0,4.1730467325238594e-05,0.34079879680565045,0.0,1.0,0.0,frozen-v6-anchor,0.2550118756708514,0.3327341752681965,1.6404715799999963,3077525,x1*x2;x1^3;x3^2,0.02329 + 0.5078·x₃² + 0.8032·x₁³ + 1.194·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,x1*x2,sin(x1),x3^2,x1^3,cos(x2); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,6,3,1.0,63,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,769381.25,1;x3^2;x1^3;x1*x2,x1;x1*x2;sin(x1);x3^2;x1^3;cos(x2),1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.1,100,4,20102,rccd-spent-diagnostic,1.0,1.0,1.0,5.969550843552564e-05,0.20174188556108852,0.0,1.0,0.0,frozen-v6-anchor,0.21522119459948996,0.26924929528066266,1.6849498390000122,3142667,x1*x2;x1^3;x3^2,-0.01897 + 0.4944·x₃² + 0.7942·x₁³ + 1.193·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,x3^2,x1*x2,sin(x1),x1^3,x2^2,cos(x2); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,785666.75,1;x3^2;x1^3;x1*x2,x1;x3^2;x1*x2;sin(x1);x1^3;x2^2;cos(x2),1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.1,100,4,20103,rccd-spent-diagnostic,1.0,1.0,1.0,4.0290145209576936e-05,0.31944678116274383,0.0,1.0,0.0,frozen-v6-anchor,0.34290313460034605,0.48663406947136234,1.7281288730000028,3169742,x1*x2;x1^3;x3^2,-0.02531 + 0.5182·x₃² + 0.8029·x₁³ + 1.189·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,x1*x2,sin(x1),x3^2,x1^3,x3,sin(x1+x1^2); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,100,100;100;100;100,792435.5,1;x3^2;x1^3;x1*x2,x1;x1*x2;sin(x1);x3^2;x1^3;x3;sin(x1+x1^2),1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.1,100,4,20104,rccd-spent-diagnostic,0.0,0.6666666666666666,0.6666666666666666,0.0005441060539429774,0.28341280296770455,0.0,1.0,0.0,frozen-v6-anchor,0.33701553057177874,0.4574038829067357,1.6969644360000018,3143270,cos(x3);x1*x2;x1^3,1.289 - 1.458·cos(x₃) + 0.8037·x₁³ + 1.223·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,cos(x3),x1^3,x1*x2; bank=x1,x1*x2,sin(x1),x3^2,cos(x3),x1^3,x4^2,sin(x3); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,cos(x3),x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,8,5,0.0,219,0,0,0,1;cos(x3);x1^3;x1*x2,G,balanced,100,100;100;100;100,785817.5,1;cos(x3);x1^3;x1*x2,x1;x1*x2;sin(x1);x3^2;cos(x3);x1^3;x4^2;sin(x3),1;cos(x3);x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.1,100,4,20105,rccd-spent-diagnostic,0.0,0.6666666666666666,0.6666666666666666,0.000321542585956593,0.3214131433507246,0.0,1.0,0.0,frozen-v6-anchor,0.23084750292300527,0.3312995921988204,1.7039571229999808,3142092,cos(x3);x1*x2;x1^3,1.35 - 1.494·cos(x₃) + 0.8013·x₁³ + 1.192·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,cos(x3),x1^3,x1*x2; bank=x1,x1*x2,sin(x1),cos(x3),x1^3,x3^2,sin(x2),x4; exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,cos(x3),x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,8,5,0.0,219,0,0,0,1;cos(x3);x1^3;x1*x2,G,balanced,100,100;100;100;100,785523.0,1;cos(x3);x1^3;x1*x2,x1;x1*x2;sin(x1);cos(x3);x1^3;x3^2;sin(x2);x4,1;cos(x3);x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.1,250,4,20101,rccd-spent-diagnostic,1.0,1.0,1.0,6.57973803475878e-05,0.256862645527264,0.0,1.0,0.0,frozen-v6-anchor,0.27745579425756417,0.33200782947468066,1.7615204989999995,3150337,x1*x2;x1^3;x3^2,-0.01735 + 0.487·x₃² + 0.795·x₁³ + 1.2·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,x3^2,x1*x2,sin(x1),x1^3,cos(x3),x2; exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,787584.25,1;x3^2;x1^3;x1*x2,x1;x3^2;x1*x2;sin(x1);x1^3;cos(x3);x2,1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.1,250,4,20102,rccd-spent-diagnostic,1.0,1.0,1.0,2.7567337070253594e-05,0.3040495298001266,0.0,1.0,0.0,frozen-v6-anchor,0.31404815918649637,0.3644630950081217,1.757455574000005,3152979,x1*x2;x1^3;x3^2,0.04942 + 0.4893·x₃² + 0.7967·x₁³ + 1.199·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,sin(x1),x1*x2,x3^2,x1^3,cos(x2),x2; exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,788244.75,1;x3^2;x1^3;x1*x2,x1;sin(x1);x1*x2;x3^2;x1^3;cos(x2);x2,1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.1,250,4,20103,rccd-spent-diagnostic,1.0,1.0,1.0,2.178602804852296e-05,0.253722921616445,0.0,1.0,0.0,frozen-v6-anchor,0.24351417499778988,0.33744887459022266,1.772370403000025,3152724,x1*x2;x1^3;x3^2,-0.004508 + 0.5017·x₃² + 0.8033·x₁³ + 1.208·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,sin(x1),x1*x2,x3^2,cos(x3),x1^3,cos(x2); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,788181.0,1;x3^2;x1^3;x1*x2,x1;sin(x1);x1*x2;x3^2;cos(x3);x1^3;cos(x2),1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.1,250,4,20104,rccd-spent-diagnostic,1.0,1.0,1.0,3.874875128919038e-05,0.2425778963246558,0.0,1.0,0.0,frozen-v6-anchor,0.2542099231224503,0.2972261826371868,1.7463748110000097,3153511,x1*x2;x1^3;x3^2,-0.02387 + 0.5022·x₃² + 0.7983·x₁³ + 1.184·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,x3^2,x1^3,x1*x2; bank=x1,x3^2,x1*x2,sin(x1),x1^3,x4,x2^2; exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,x3^2,x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,1.0,120,0,0,0,1;x3^2;x1^3;x1*x2,G,balanced,250,250;250;250;250,788377.75,1;x3^2;x1^3;x1*x2,x1;x3^2;x1*x2;sin(x1);x1^3;x4;x2^2,1;x3^2;x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
cubic_cross,complementary,0.1,250,4,20105,rccd-spent-diagnostic,0.0,0.6666666666666666,0.6666666666666666,0.0004829046693405466,0.3246319947786826,0.0,1.0,0.0,frozen-v6-anchor,0.2831907997548315,0.33446585601798173,1.7506570850000003,3152769,cos(x3);x1*x2;x1^3,1.304 - 1.454·cos(x₃) + 0.8008·x₁³ + 1.225·x₁x₂,"RCCD spent-seed diagnostic; anchor=1,cos(x3),x1^3,x1*x2; bank=x1,x1*x2,sin(x1),x3^2,cos(x3),x1^3,sin(x1+x1^2); exception=; source=; in_bank=0; in_anchor=0; source_in_anchor=0; attempted=0; selector_eligible=; selector_N=0; selector_delta=None; selector_pass=0; probe_eligible=; probe_N=0; probe_delta=None; probe_pass=0; selector_outside_safe=0; probe_outside_safe=0; accepted=0; final=1,cos(x3),x1^3,x1*x2; wrapper_overhead_unoptimized=1",1.0,1.0,7,4,0.0,120,0,0,0,1;cos(x3);x1^3;x1*x2,G,balanced,250,250;250;250;250,788192.25,1;cos(x3);x1^3;x1*x2,x1;x1*x2;sin(x1);x3^2;cos(x3);x1^3;sin(x1+x1^2),1;cos(x3);x1^3;x1*x2,,[],,,0.0,0.0,0.0,0.0,,,0,,,,0.0,,0,,,,0.0,,,0.0,,,0.0,0.0
