benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,fallback_selected,selected_source,validation_mse,worst_validation_mse,runtime_seconds,communication_bytes,discovered_terms,expression,stop_reason,bank_target_recall,bank_contains_all_truth,bank_size,bank_nuisance_count,selector_structure,validated_structure,probe_passed,candidate_sets_evaluated,necessity_failures,swap_failures,exception_eligible_diagnostics
base,complementary,0.03,120,4,17101,scsv-selector,1.0,1.0,1.0,5.981267925842059e-06,0.007454155162100128,0.0,1.0,0.0,scsv-selector,0.008506389573915621,0.014705623757797702,1.6501230510000369,3118498,sin(x2);x1;x3^2,-0.007406 + 2.003·x₁ + 0.5007·x₃² + 1.005·sin(x₂),"SCSV exploratory; bank=x1,sin(x2),x3^2,x2,cos(x2),sin(x1+x1^2); selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=63; diagnostics=[{""best_swap_gain"":423.4605890679716,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":309.0746265439059,""loco_min_swap_gain"":308.0593462920475,""necessity_gain"":429.2255422730675,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":45.96668524719769,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":20.806294611575495,""loco_min_swap_gain"":20.75874133225703,""necessity_gain"":45.1350337450164,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":9.425363175696873,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":21.266629199065036,""loco_min_swap_gain"":5.6502992588469,""necessity_gain"":32.253786409928466,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,6,3,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,63,0,0,0
base,complementary,0.03,120,4,17101,scsv-validated,1.0,1.0,1.0,5.981267925842059e-06,0.007454155162100128,0.0,1.0,0.0,selector-set,0.008506389573915621,0.014705623757797702,1.6501230510000369,3118498,sin(x2);x1;x3^2,-0.007406 + 2.003·x₁ + 0.5007·x₃² + 1.005·sin(x₂),"SCSV exploratory; bank=x1,sin(x2),x3^2,x2,cos(x2),sin(x1+x1^2); selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=63; diagnostics=[{""best_swap_gain"":423.4605890679716,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":309.0746265439059,""loco_min_swap_gain"":308.0593462920475,""necessity_gain"":429.2255422730675,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":45.96668524719769,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":20.806294611575495,""loco_min_swap_gain"":20.75874133225703,""necessity_gain"":45.1350337450164,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":9.425363175696873,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":21.266629199065036,""loco_min_swap_gain"":5.6502992588469,""necessity_gain"":32.253786409928466,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]; operational_probe=1; term_diagnostics=[{""best_swap_gain"":423.4605890679716,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":309.0746265439059,""loco_min_swap_gain"":308.0593462920475,""necessity_gain"":429.2255422730675,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":45.96668524719769,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":20.806294611575495,""loco_min_swap_gain"":20.75874133225703,""necessity_gain"":45.1350337450164,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":9.425363175696873,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":21.266629199065036,""loco_min_swap_gain"":5.6502992588469,""necessity_gain"":32.253786409928466,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,6,3,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,63,0,0,0
base,complementary,0.03,120,4,17102,scsv-selector,1.0,1.0,1.0,6.888524440164761e-06,0.007564494702294024,0.0,1.0,0.0,scsv-selector,0.007755947492448258,0.012446280651670034,1.7322631409999758,3204344,sin(x2);x1;x3^2,0.006155 + 2.004·x₁ + 0.4997·x₃² + 1.006·sin(x₂),"SCSV exploratory; bank=x1,sin(x2),x3^2,x2,cos(x1); selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=32; diagnostics=[{""best_swap_gain"":540.7595054964006,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":381.7891123176769,""loco_min_swap_gain"":375.5294119583853,""necessity_gain"":548.6070508839593,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":45.14369047478556,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":28.913290357586902,""loco_min_swap_gain"":28.678494431521074,""necessity_gain"":45.300619011023045,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":14.322771873244065,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":24.16081316333323,""loco_min_swap_gain"":5.715409988299257,""necessity_gain"":38.51579803618641,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,5,2,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,32,0,0,0
base,complementary,0.03,120,4,17102,scsv-validated,1.0,1.0,1.0,6.888524440164761e-06,0.007564494702294024,0.0,1.0,0.0,selector-set,0.007755947492448258,0.012446280651670034,1.7322631409999758,3204344,sin(x2);x1;x3^2,0.006155 + 2.004·x₁ + 0.4997·x₃² + 1.006·sin(x₂),"SCSV exploratory; bank=x1,sin(x2),x3^2,x2,cos(x1); selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=32; diagnostics=[{""best_swap_gain"":540.7595054964006,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":381.7891123176769,""loco_min_swap_gain"":375.5294119583853,""necessity_gain"":548.6070508839593,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":45.14369047478556,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":28.913290357586902,""loco_min_swap_gain"":28.678494431521074,""necessity_gain"":45.300619011023045,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":14.322771873244065,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":24.16081316333323,""loco_min_swap_gain"":5.715409988299257,""necessity_gain"":38.51579803618641,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]; operational_probe=1; term_diagnostics=[{""best_swap_gain"":540.7595054964006,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":381.7891123176769,""loco_min_swap_gain"":375.5294119583853,""necessity_gain"":548.6070508839593,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":45.14369047478556,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":28.913290357586902,""loco_min_swap_gain"":28.678494431521074,""necessity_gain"":45.300619011023045,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":14.322771873244065,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":24.16081316333323,""loco_min_swap_gain"":5.715409988299257,""necessity_gain"":38.51579803618641,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,5,2,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,32,0,0,0
base,complementary,0.03,120,4,17103,scsv-selector,1.0,1.0,1.0,1.7802833731798777e-06,0.007548433678249097,0.0,1.0,0.0,scsv-selector,0.005906167218220817,0.008774945264744045,1.6794835580000154,3175414,sin(x2);x1;x3^2,0.0009445 + 2.003·x₁ + 0.4994·x₃² + 0.9988·sin(x₂),"SCSV exploratory; bank=x1,x3^2,sin(x2),x2,x4^2; selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=32; diagnostics=[{""best_swap_gain"":364.257485237797,""best_swap_rival"":""x4^2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":237.85941969624452,""loco_min_swap_gain"":252.05042517381952,""necessity_gain"":354.2205141758242,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":36.138701582381074,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":23.77742615637068,""loco_min_swap_gain"":23.618912613260406,""necessity_gain"":36.22089746742786,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":11.859011383051822,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":23.120546223550875,""loco_min_swap_gain"":7.394489779129785,""necessity_gain"":33.52750271043219,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,5,2,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,32,0,0,0
base,complementary,0.03,120,4,17103,scsv-validated,1.0,1.0,1.0,1.7802833731798777e-06,0.007548433678249097,0.0,1.0,0.0,selector-set,0.005906167218220817,0.008774945264744045,1.6794835580000154,3175414,sin(x2);x1;x3^2,0.0009445 + 2.003·x₁ + 0.4994·x₃² + 0.9988·sin(x₂),"SCSV exploratory; bank=x1,x3^2,sin(x2),x2,x4^2; selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=32; diagnostics=[{""best_swap_gain"":364.257485237797,""best_swap_rival"":""x4^2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":237.85941969624452,""loco_min_swap_gain"":252.05042517381952,""necessity_gain"":354.2205141758242,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":36.138701582381074,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":23.77742615637068,""loco_min_swap_gain"":23.618912613260406,""necessity_gain"":36.22089746742786,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":11.859011383051822,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":23.120546223550875,""loco_min_swap_gain"":7.394489779129785,""necessity_gain"":33.52750271043219,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]; operational_probe=1; term_diagnostics=[{""best_swap_gain"":364.257485237797,""best_swap_rival"":""x4^2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":237.85941969624452,""loco_min_swap_gain"":252.05042517381952,""necessity_gain"":354.2205141758242,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":36.138701582381074,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":23.77742615637068,""loco_min_swap_gain"":23.618912613260406,""necessity_gain"":36.22089746742786,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":11.859011383051822,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":23.120546223550875,""loco_min_swap_gain"":7.394489779129785,""necessity_gain"":33.52750271043219,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,5,2,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,32,0,0,0
base,complementary,0.03,120,4,17104,scsv-selector,1.0,1.0,1.0,9.693373178347004e-06,0.008259423682962353,0.0,1.0,0.0,scsv-selector,0.007353233782420353,0.008206767956612756,1.662636783000039,3150035,sin(x2);x1;x3^2,0.0005114 + 1.995·x₁ + 0.5011·x₃² + 0.9911·sin(x₂),"SCSV exploratory; bank=x1,sin(x2),x3^2,sin(x1),x4,sin(x1)*cos(x2); selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=63; diagnostics=[{""best_swap_gain"":109.44230379635918,""best_swap_rival"":""sin(x1)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":323.8385761861375,""loco_min_swap_gain"":53.63043869290654,""necessity_gain"":503.36651131709914,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":40.57300413813846,""best_swap_rival"":""sin(x1)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":25.787411254131968,""loco_min_swap_gain"":26.171660534821683,""necessity_gain"":41.503476505467546,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":33.194803115531,""best_swap_rival"":""sin(x1)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":22.993217231323726,""loco_min_swap_gain"":22.94011638290003,""necessity_gain"":33.253554115327944,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,6,3,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,63,0,0,0
base,complementary,0.03,120,4,17104,scsv-validated,1.0,1.0,1.0,9.693373178347004e-06,0.008259423682962353,0.0,1.0,0.0,selector-set,0.007353233782420353,0.008206767956612756,1.662636783000039,3150035,sin(x2);x1;x3^2,0.0005114 + 1.995·x₁ + 0.5011·x₃² + 0.9911·sin(x₂),"SCSV exploratory; bank=x1,sin(x2),x3^2,sin(x1),x4,sin(x1)*cos(x2); selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=63; diagnostics=[{""best_swap_gain"":109.44230379635918,""best_swap_rival"":""sin(x1)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":323.8385761861375,""loco_min_swap_gain"":53.63043869290654,""necessity_gain"":503.36651131709914,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":40.57300413813846,""best_swap_rival"":""sin(x1)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":25.787411254131968,""loco_min_swap_gain"":26.171660534821683,""necessity_gain"":41.503476505467546,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":33.194803115531,""best_swap_rival"":""sin(x1)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":22.993217231323726,""loco_min_swap_gain"":22.94011638290003,""necessity_gain"":33.253554115327944,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]; operational_probe=1; term_diagnostics=[{""best_swap_gain"":109.44230379635918,""best_swap_rival"":""sin(x1)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":323.8385761861375,""loco_min_swap_gain"":53.63043869290654,""necessity_gain"":503.36651131709914,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":40.57300413813846,""best_swap_rival"":""sin(x1)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":25.787411254131968,""loco_min_swap_gain"":26.171660534821683,""necessity_gain"":41.503476505467546,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":33.194803115531,""best_swap_rival"":""sin(x1)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":22.993217231323726,""loco_min_swap_gain"":22.94011638290003,""necessity_gain"":33.253554115327944,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,6,3,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,63,0,0,0
base,complementary,0.03,120,4,17105,scsv-selector,1.0,1.0,1.0,2.269090563950097e-06,0.007499924083543886,0.0,1.0,0.0,scsv-selector,0.0076901260603830695,0.00867298164278749,1.6239156139999977,3115341,sin(x2);x1;x3^2,0.0002813 + 2.001·x₁ + 0.5011·x₃² + 1.005·sin(x₂),"SCSV exploratory; bank=x1,sin(x2),x3^2,x2,x4; selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=32; diagnostics=[{""best_swap_gain"":525.9932427109588,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":353.7138912065316,""loco_min_swap_gain"":333.2720196196048,""necessity_gain"":555.2181192821338,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":36.35999245752032,""best_swap_rival"":""x4"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":23.737170756994857,""loco_min_swap_gain"":23.835570549610964,""necessity_gain"":36.27875833159456,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":16.217424553162942,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":22.1497815168143,""loco_min_swap_gain"":8.85504917779744,""necessity_gain"":36.61000958981904,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,5,2,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,32,0,0,0
base,complementary,0.03,120,4,17105,scsv-validated,1.0,1.0,1.0,2.269090563950097e-06,0.007499924083543886,0.0,1.0,0.0,selector-set,0.0076901260603830695,0.00867298164278749,1.6239156139999977,3115341,sin(x2);x1;x3^2,0.0002813 + 2.001·x₁ + 0.5011·x₃² + 1.005·sin(x₂),"SCSV exploratory; bank=x1,sin(x2),x3^2,x2,x4; selector=1,x1,x3^2,sin(x2); probe_passed=1; validated=1,x1,x3^2,sin(x2); sets=32; diagnostics=[{""best_swap_gain"":525.9932427109588,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":353.7138912065316,""loco_min_swap_gain"":333.2720196196048,""necessity_gain"":555.2181192821338,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":36.35999245752032,""best_swap_rival"":""x4"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":23.737170756994857,""loco_min_swap_gain"":23.835570549610964,""necessity_gain"":36.27875833159456,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":16.217424553162942,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":22.1497815168143,""loco_min_swap_gain"":8.85504917779744,""necessity_gain"":36.61000958981904,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]; operational_probe=1; term_diagnostics=[{""best_swap_gain"":525.9932427109588,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":353.7138912065316,""loco_min_swap_gain"":333.2720196196048,""necessity_gain"":555.2181192821338,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1""},{""best_swap_gain"":36.35999245752032,""best_swap_rival"":""x4"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":23.737170756994857,""loco_min_swap_gain"":23.835570549610964,""necessity_gain"":36.27875833159456,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":16.217424553162942,""best_swap_rival"":""x2"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":22.1497815168143,""loco_min_swap_gain"":8.85504917779744,""necessity_gain"":36.61000958981904,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""}]",1.0,1.0,5,2,1;x1;x3^2;sin(x2),1;x1;x3^2;sin(x2),1.0,32,0,0,0
