family,noise_ratio,samples_per_client,num_clients,balance_profile,role_profile,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,deviation_tp,deviation_fp,deviation_fn,deviation_precision,deviation_recall,all_true_deviations_recovered,spurious_deviation_accepted,runtime_seconds,communication_bytes,discovered_terms,final_structure,accepted_deviations,anchor_structure,bank_terms,source_linked_candidates,ambiguity_guard,certificate_violation_count,diagnostics_json,expression,stop_reason
quadratic_role,0.1,100,4,balanced,single,24101,scsv-rcd-v7-full,1.0,1.0,1.0,5.6128498222267304e-05,0.36389873409790063,1,0,0,1.0,1.0,1.0,0.0,3.17315220399999,4836971,I(x3>1)*x3^2;sin(x2);x1^3;x3^2,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,x1;sin(x1);x3^2;sin(x2);x1^3;I(x3>1)*x3^2;x4,,0.0,0,[],0.01096 + 0.5924·x₃² + 0.9475·sin(x₂) + 0.7974·x₁³ + 0.7767·𝟙[x₃>1]·x₃²,"SCSV-RCD v7; probe_required=1; anchor=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2; bank=x1,sin(x1),x3^2,sin(x2),x1^3,I(x3>1)*x3^2,x4; source_linked=; accepted=; ambiguity=0; final=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2"
quadratic_role,0.1,100,4,balanced,single,24101,scsv-v6-full,1.0,1.0,1.0,5.6128498222267304e-05,0.36389873409790063,1,0,0,1.0,1.0,1.0,0.0,3.172796906000002,4836971,I(x3>1)*x3^2;sin(x2);x1^3;x3^2,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,,,,,0.0,0,[],0.01096 + 0.5924·x₃² + 0.9475·sin(x₂) + 0.7974·x₁³ + 0.7767·𝟙[x₃>1]·x₃²,"SCSV-Cert v6; score=1; bank=x1,sin(x1),x3^2,sin(x2),x1^3,I(x3>1)*x3^2,x4; selector=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2; probe_certified=1; sets=120; diagnostics=[{""best_swap_gain"":46.24044759643485,""best_swap_rival"":""x4"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":30.294516205599024,""loco_min_swap_gain"":30.184699632315926,""necessity_gain"":46.40144735874921,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":14.059048796918745,""best_swap_rival"":""x4"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":10.55159029608376,""loco_min_swap_gain"":7.953022512148749,""necessity_gain"":15.081111817485862,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""},{""best_swap_gain"":335.36843601726576,""best_swap_rival"":""x1"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":1205.953137503474,""loco_min_swap_gain"":207.72509417771352,""necessity_gain"":1873.5567867523412,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1^3""},{""best_swap_gain"":null,""best_swap_rival"":null,""eligible_clients"":[""client-4""],""kind"":""exception"",""loco_min_necessity_gain"":null,""loco_min_swap_gain"":null,""necessity_gain"":24.170384038556676,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""I(x3>1)*x3^2""}]"
quadratic_role,0.1,100,4,balanced,single,24101,scsv-rcd-v7-no-probe,1.0,1.0,1.0,5.6128498222267304e-05,0.36389873409790063,1,0,0,1.0,1.0,1.0,0.0,3.1612829480000073,4836971,I(x3>1)*x3^2;sin(x2);x1^3;x3^2,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,x1;sin(x1);x3^2;sin(x2);x1^3;I(x3>1)*x3^2;x4,,0.0,0,[],0.01096 + 0.5924·x₃² + 0.9475·sin(x₂) + 0.7974·x₁³ + 0.7767·𝟙[x₃>1]·x₃²,"SCSV-RCD v7; probe_required=0; anchor=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2; bank=x1,sin(x1),x3^2,sin(x2),x1^3,I(x3>1)*x3^2,x4; source_linked=; accepted=; ambiguity=0; final=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2"
quadratic_role,0.1,100,4,balanced,single,24101,legacy-certificate,0.0,0.2,0.25,0.011547043676724192,0.7324865928706268,1,0,0,1.0,1.0,1.0,0.0,0.17588567100000319,213358,I(x3>1)*x3^2;sin(x1);x1;x2;x3,1;x1;sin(x1);I(x3>1)*x3^2;x3;x2,,,,,0.0,0,[],0.3102 + 6.65·x₁ - 7.289·sin(x₁) + 1.712·𝟙[x₃>1]·x₃² - 0.8527·x₃ + 0.3674·x₂,target federated MSE reached
quadratic_role,0.1,100,4,balanced,single,24101,centralized-forward,0.0,0.8,1.0,0.0002884177374576697,0.34772099359007913,1,0,0,1.0,1.0,1.0,0.0,0.027767562000008184,0,I(x3>1)*x3^2;sin(x2);x1^3;x3^2;x4,1;x1^3;I(x3>1)*x3^2;x3^2;sin(x2);x4,,,,,0.0,0,[],0.01311 + 0.7981·x₁³ + 0.7821·𝟙[x₃>1]·x₃² + 0.5943·x₃² + 0.9371·sin(x₂) + 0.1249·x₄,information criterion stopped
quadratic_role,0.1,100,4,balanced,single,24102,scsv-rcd-v7-full,1.0,1.0,1.0,8.375129684863018e-05,0.31533580900286223,1,0,0,1.0,1.0,1.0,0.0,3.117549937000007,4801268,I(x3>1)*x3^2;sin(x2);x1^3;x3^2,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,x1;sin(x1);sin(x2);x3^2;x1^3;cos(x3);I(x3>1)*x3^2,,0.0,0,[],0.04801 + 0.5679·x₃² + 1.001·sin(x₂) + 0.7941·x₁³ + 0.7778·𝟙[x₃>1]·x₃²,"SCSV-RCD v7; probe_required=1; anchor=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2; bank=x1,sin(x1),sin(x2),x3^2,x1^3,cos(x3),I(x3>1)*x3^2; source_linked=; accepted=; ambiguity=0; final=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2"
quadratic_role,0.1,100,4,balanced,single,24102,scsv-v6-full,1.0,1.0,1.0,8.375129684863018e-05,0.31533580900286223,1,0,0,1.0,1.0,1.0,0.0,3.1171920839999814,4801268,I(x3>1)*x3^2;sin(x2);x1^3;x3^2,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,,,,,0.0,0,[],0.04801 + 0.5679·x₃² + 1.001·sin(x₂) + 0.7941·x₁³ + 0.7778·𝟙[x₃>1]·x₃²,"SCSV-Cert v6; score=1; bank=x1,sin(x1),sin(x2),x3^2,x1^3,cos(x3),I(x3>1)*x3^2; selector=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2; probe_certified=1; sets=120; diagnostics=[{""best_swap_gain"":2.4729365241009305,""best_swap_rival"":""cos(x3)"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":32.801393467756384,""loco_min_swap_gain"":1.1676744051475794,""necessity_gain"":49.419905050093234,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x3^2""},{""best_swap_gain"":30.777316886492656,""best_swap_rival"":""x1"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":20.439558337441667,""loco_min_swap_gain"":20.734381888762755,""necessity_gain"":30.395628958952557,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""sin(x2)""},{""best_swap_gain"":233.05398047672674,""best_swap_rival"":""x1"",""eligible_clients"":[""client-1"",""client-2"",""client-3"",""client-4""],""kind"":""core"",""loco_min_necessity_gain"":823.6090278127779,""loco_min_swap_gain"":120.11013037378603,""necessity_gain"":1348.4020180578118,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""x1^3""},{""best_swap_gain"":null,""best_swap_rival"":null,""eligible_clients"":[""client-4""],""kind"":""exception"",""loco_min_necessity_gain"":null,""loco_min_swap_gain"":null,""necessity_gain"":32.4258464512792,""necessity_passed"":true,""outside_nondegradation_passed"":true,""passed"":true,""reason"":""set-conditional structural verification passed"",""swap_passed"":true,""term"":""I(x3>1)*x3^2""}]"
quadratic_role,0.1,100,4,balanced,single,24102,scsv-rcd-v7-no-probe,1.0,1.0,1.0,8.375129684863018e-05,0.31533580900286223,1,0,0,1.0,1.0,1.0,0.0,3.111784301,4801268,I(x3>1)*x3^2;sin(x2);x1^3;x3^2,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,,1;x3^2;sin(x2);x1^3;I(x3>1)*x3^2,x1;sin(x1);sin(x2);x3^2;x1^3;cos(x3);I(x3>1)*x3^2,,0.0,0,[],0.04801 + 0.5679·x₃² + 1.001·sin(x₂) + 0.7941·x₁³ + 0.7778·𝟙[x₃>1]·x₃²,"SCSV-RCD v7; probe_required=0; anchor=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2; bank=x1,sin(x1),sin(x2),x3^2,x1^3,cos(x3),I(x3>1)*x3^2; source_linked=; accepted=; ambiguity=0; final=1,x3^2,sin(x2),x1^3,I(x3>1)*x3^2"
quadratic_role,0.1,100,4,balanced,single,24102,legacy-certificate,0.0,0.2,0.25,0.012391574702224644,0.690035357870577,1,0,0,1.0,1.0,1.0,0.0,0.17570599600000492,213408,I(x3>1)*x3^2;sin(x1);x1;x2;x3,1;x1;sin(x1);I(x3>1)*x3^2;x3;x2,,,,,0.0,0,[],0.3543 + 6.527·x₁ - 6.997·sin(x₁) + 1.68·𝟙[x₃>1]·x₃² - 0.8394·x₃ + 0.3605·x₂,target federated MSE reached
quadratic_role,0.1,100,4,balanced,single,24102,centralized-forward,1.0,1.0,1.0,8.375129684863925e-05,0.31533580900286223,1,0,0,1.0,1.0,1.0,0.0,0.022163956000014196,0,I(x3>1)*x3^2;sin(x2);x1^3;x3^2,1;x1^3;I(x3>1)*x3^2;x3^2;sin(x2),,,,,0.0,0,[],0.04801 + 0.7941·x₁³ + 0.7778·𝟙[x₃>1]·x₃² + 0.5679·x₃² + 1.001·sin(x₂),information criterion stopped
